事例:Athens Greece Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.7137669920921326
事例:Athens Greece Beijing China, 正解単語:China, 求めた単語・類似度:China・0.7235778570175171
事例:Athens Greece Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.6734622716903687
事例:Athens Greece Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Switzerland・0.4919748306274414
事例:Athens Greece Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.7527809739112854
事例:Athens Greece Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.583732545375824
事例:Athens Greece Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.6276341676712036
事例:Athens Greece Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.6460990905761719
事例:Athens Greece Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.68999844789505
事例:Athens Greece Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.7233326435089111
事例:Athens Greece Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghan・0.6160916090011597
事例:Athens Greece London England, 正解単語:England, 求めた単語・類似度:Britain・0.5646188259124756
事例:Athens Greece Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.703661322593689
事例:Athens Greece Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.7382973432540894
事例:Athens Greece Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.6470744013786316
事例:Athens Greece Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.5912168622016907
事例:Athens Greece Paris France, 正解単語:France, 求めた単語・類似度:France・0.6724624633789062
事例:Athens Greece Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.682619035243988
事例:Athens Greece Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.6757243871688843
事例:Athens Greece Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.7671369910240173
事例:Athens Greece Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.7256094813346863
事例:Baghdad Iraq Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.6745355129241943
事例:Baghdad Iraq Beijing China, 正解単語:China, 求めた単語・類似度:China・0.6915649175643921
事例:Baghdad Iraq Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.6057409048080444
事例:Baghdad Iraq Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:coach_Bobby_Curlings・0.4347156882286072
事例:Baghdad Iraq Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.6848487854003906
事例:Baghdad Iraq Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Mr_Rudd・0.6186109185218811
事例:Baghdad Iraq Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Vietnam・0.7493551969528198
事例:Baghdad Iraq Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.7133255004882812
事例:Baghdad Iraq Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.5972561836242676
事例:Baghdad Iraq Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.7466936707496643
事例:Baghdad Iraq Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghanistan・0.8359360098838806
事例:Baghdad Iraq London England, 正解単語:England, 求めた単語・類似度:Britain・0.5853632688522339
事例:Baghdad Iraq Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.6144676804542542
事例:Baghdad Iraq Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.7236211895942688
事例:Baghdad Iraq Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.5987579822540283
事例:Baghdad Iraq Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Prime_Minister_Jean_Chrétien・0.5704855918884277
事例:Baghdad Iraq Paris France, 正解単語:France, 求めた単語・類似度:France・0.6203721761703491
事例:Baghdad Iraq Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.5362657904624939
事例:Baghdad Iraq Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.5907803177833557
事例:Baghdad Iraq Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.8114986419677734
事例:Baghdad Iraq Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.7056296467781067
事例:Baghdad Iraq Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.5793530344963074
事例:Bangkok Thailand Beijing China, 正解単語:China, 求めた単語・類似度:China・0.8263983726501465
事例:Bangkok Thailand Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.729519784450531
事例:Bangkok Thailand Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Switzerland・0.5047769546508789
事例:Bangkok Thailand Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.8118714690208435
事例:Bangkok Thailand Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.7154911160469055
事例:Bangkok Thailand Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.7700590491294861
事例:Bangkok Thailand Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.800740659236908
事例:Bangkok Thailand Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.7515274286270142
事例:Bangkok Thailand Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.7976753115653992
事例:Bangkok Thailand Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghanistan・0.6666889190673828
事例:Bangkok Thailand London England, 正解単語:England, 求めた単語・類似度:Britain・0.6576252579689026
事例:Bangkok Thailand Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.765529990196228
事例:Bangkok Thailand Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.8613657355308533
事例:Bangkok Thailand Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.7142737507820129
事例:Bangkok Thailand Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.6684818267822266
事例:Bangkok Thailand Paris France, 正解単語:France, 求めた単語・類似度:France・0.7388160228729248
事例:Bangkok Thailand Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.6863130331039429
事例:Bangkok Thailand Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.7587180733680725
事例:Bangkok Thailand Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.8363437652587891
事例:Bangkok Thailand Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.8282634615898132
事例:Bangkok Thailand Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.6765022873878479
事例:Bangkok Thailand Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Iraqi・0.6885136365890503
事例:Beijing China Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.7232257723808289
事例:Beijing China Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Bern_NC・0.4655816853046417
事例:Beijing China Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.7653075456619263
事例:Beijing China Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.7234394550323486
事例:Beijing China Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.7793146967887878
事例:Beijing China Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.7189655900001526
事例:Beijing China Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.7141392827033997
事例:Beijing China Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.8062407374382019
事例:Beijing China Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghan・0.6770888566970825
事例:Beijing China London England, 正解単語:England, 求めた単語・類似度:UK・0.630479633808136
事例:Beijing China Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.7320305109024048
事例:Beijing China Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.8579801321029663
事例:Beijing China Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.6628976464271545
事例:Beijing China Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.6537172198295593
事例:Beijing China Paris France, 正解単語:France, 求めた単語・類似度:France・0.7109121680259705
事例:Beijing China Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.663748562335968
事例:Beijing China Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.7026647925376892
事例:Beijing China Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.826274573802948
事例:Beijing China Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.8236701488494873
事例:Beijing China Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.6515147686004639
事例:Beijing China Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Mosul・0.7041885256767273
事例:Beijing China Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.8047244548797607
事例:Berlin Germany Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Switzerland・0.609531819820404
事例:Berlin Germany Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.6912306547164917
事例:Berlin Germany Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.7485095858573914
事例:Berlin Germany Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.6875089406967163
事例:Berlin Germany Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.6961181163787842
事例:Berlin Germany Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.7654494047164917
事例:Berlin Germany Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.7597626447677612
事例:Berlin Germany Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghan・0.6450541615486145
事例:Berlin Germany London England, 正解単語:England, 求めた単語・類似度:UK・0.6597434282302856
事例:Berlin Germany Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.7768210768699646
事例:Berlin Germany Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.8107380867004395
事例:Berlin Germany Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.7291736602783203
